AAA 177	  Independent Studies	  (0-6)	
AAA 201	  Introduction to Asian/ Asian American Studies	  (3) (MPF)	
AAA 203	  Global Religions of India	  (3) (MPF)	
AAA 207	  Asia and Globalization	  (3) (MPF)	
AAA 210	  Psychology Across Cultures	  (3) (MPF)	
AAA 211	  Writing with Purpose: Interdisciplinary Inquiry and Communication	  (3)	
AAA 248	  Asian American Literature	  (3) (MPF)	
AAA 249	  Asian & Asian American Cinema	  (3) (MPF)	
AAA 269	  Colonial & Postcolonial Literature	  (3) (MPF)	
AAA 277	  Independent Studies	  (0-6)	
AAA 334	  Transnational Youth Cultures	  (3) (MPF, MPT)	
AAA 351	  Cultural Politics of Gender and Sexuality in Asian/America	  (3)	
AAA 377	  Independent Studies	  (0-6)	
AAA 410	  Asian/Asian American Studies	  (3; maximum 9)	
AAA 477	  Independent Studies	  (0-6)	
ACC 177	  Independent Studies	  (0-6)	
ACC 211	  Accounting for the Non-Business Major	  (3)	
ACC 221	  Introduction to Financial Accounting	  (3) (MPT)	
ACC 222	  Introduction to Managerial Accounting	  (3) (MPT)	
ACC 256	  Accountancy Career Exploration and Planning	  (1)	
ACC 277	  Independent Studies	  (0-6)	
ACC 301	  CBL Corporate Governance & Executive Leadership Lab	  (1)	
ACC 321	  Intermediate Financial Accounting	  (3) (MPT)	
ACC 333	  Managerial Accounting	  (3)	
ACC 340	  Internship	  (0-20)	
ACC 343	  Federal Income Tax Accounting	  (3)	
ACC 361	  Modeling Business Processes in Accounting Information Systems	  (3)	
ACC 370	  Applied Accounting Research	  (1-3; maximum 3)	
ACC 377	  Independent Studies	  (0-6)	
ACC 422/ACC 522	  Financial Accounting Research	  (3) (MPT)	
ACC 445/ACC 545	  Taxation of Flow-through Entities and Corporations	  (3)	
ACC 452	  Internal Auditing	  (3)	
ACC 453/ACC 553	  Financial Statement Auditing	  (3)	
ACC 458	  Advanced Auditing Topics and Research	  (3)	
ACC 461	  Accounting for Business Combinations	  (3)	
ACC 468/ACC 568	  Accounting for Governmental and Not-for-Profit Organizations	  (3)	
ACC 477	  Independent Studies	  (0-6)	
ACC 490/ACC 590	  Current Topics in Accounting and Auditing	  (1-3; maximum 6)	
ACC 495/ACC 595	  Accounting Analysis	  (3) (MPC)	
ACC 611	  Accounting for Managers	  (3)	
